model,c_index,brier,accuracy,arm,seed
full_s0,0.6059,0.192,0.7326,full,0
full_s1,0.6321,0.1918,0.7326,full,1
full_s2,0.592,0.1913,0.7326,full,2
full_s3,0.6536,0.1915,0.7326,full,3
full_s4,0.567,0.1908,0.7326,full,4
cond_s0,0.5885,0.197,0.7326,cond,0
cond_s1,0.5109,0.197,0.7326,cond,1
cond_s2,0.4998,0.1968,0.7326,cond,2
cond_s3,0.4853,0.1975,0.7326,cond,3
cond_s4,0.539,0.1968,0.7326,cond,4
lob_s0,0.5265,0.1974,0.7326,lob,0
lob_s1,0.4678,0.1969,0.7326,lob,1
lob_s2,0.482,0.1973,0.7326,lob,2
lob_s3,0.4978,0.1969,0.7326,lob,3
lob_s4,0.5427,0.1969,0.7326,lob,4
