asset,model,n_feat,lookup,auc,sd,gap,loss_moved
BTCUSD,gbt_micro,63,0.6828,0.7307,0.0006,0.048,
BTCUSD,lstm_micro,63,0.6828,0.6857,0.0021,0.0029,0.11887
BTCUSD,gbt_all,109,0.6828,0.7262,0.0012,0.0434,
BTCUSD,lstm_all,109,0.6828,0.6903,0.0043,0.0076,0.02635
ETHUSD,gbt_micro,63,0.6597,0.7193,0.0013,0.0596,
ETHUSD,lstm_micro,63,0.6597,0.6983,0.0046,0.0387,0.15928
ETHUSD,gbt_all,109,0.6597,0.6908,0.001,0.0312,
ETHUSD,lstm_all,109,0.6597,0.6669,0.0036,0.0072,0.00779
SOLUSD,gbt_micro,63,0.6673,0.6568,0.0035,-0.0105,
SOLUSD,lstm_micro,63,0.6673,0.7043,0.0046,0.037,0.01393
SOLUSD,gbt_all,109,0.6673,0.7056,0.001,0.0383,
SOLUSD,lstm_all,109,0.6673,0.7043,0.0074,0.037,0.02126
